M = 0  out of  399
M = 40  out of  399
M = 80  out of  399
M = 120  out of  399
M = 160  out of  399
M = 200  out of  399
M = 240  out of  399
M = 280  out of  399
M = 320  out of  399
M = 360  out of  399
         3410443 function calls (3404904 primitive calls) in 325.778 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 __init__.py:687(_get_configdir)
        2    0.000    0.000    0.037    0.019 __init__.py:7(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:710(Sorter)
        2    0.000    0.000    0.000    0.000 __init__.py:711(_get_cachedir)
        1    0.000    0.000    0.000    0.000 __init__.py:723(_decode_filesystem_path)
        8    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:730(_get_data_path)
        1    0.000    0.000    0.000    0.000 __init__.py:748(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:758(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:758(Xlator)
        1    0.000    0.000    0.000    0.000 __init__.py:767(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:773(_get_data_path_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:796(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:798(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 __init__.py:820(Null)
        4    0.000    0.000    0.000    0.000 __init__.py:829(gen_candidates)
        1    0.000    0.000    0.000    0.000 __init__.py:853(mkdirs)
