M = 0  out of  237
M = 23  out of  237
M = 46  out of  237
M = 69  out of  237
M = 92  out of  237
M = 115  out of  237
M = 138  out of  237
M = 161  out of  237
M = 184  out of  237
M = 207  out of  237
M = 230  out of  237
         49944522 function calls (49937501 primitive calls) in 1951.246 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 lil.py:2(<module>)
       12    0.001    0.000    0.003    0.000 artist.py:1114(get_aliases)
        1    0.000    0.000    0.003    0.003 pathlib.py:1(<module>)
     3640    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
      213    0.000    0.000    0.003    0.000 sre_compile.py:223(_compile_charset)
        8    0.003    0.000    0.003    0.000 {built-in method builtins.compile}
      373    0.001    0.000    0.003    0.000 colors.py:168(_to_rgba_no_colorcycle)
      577    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
      429    0.000    0.000    0.003    0.000 pyparsing.py:1167(copy)
      623    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
     1479    0.001    0.000    0.003    0.000 re.py:169(match)
        1    0.000    0.000    0.003    0.003 U_CCQED.py:1(<module>)
