M = 0  out of  237
M = 23  out of  237
M = 46  out of  237
M = 69  out of  237
M = 92  out of  237
M = 115  out of  237
M = 138  out of  237
M = 161  out of  237
M = 184  out of  237
M = 207  out of  237
M = 230  out of  237
         15788728 function calls (15781629 primitive calls) in 1157.523 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      766    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
        1    0.000    0.000    0.005    0.005 _axes.py:118(Axes)
     1045    0.001    0.000    0.005    0.000 colors.py:134(to_rgba)
     1310    0.001    0.000    0.005    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.005    0.005 dates.py:134(<module>)
    29343    0.005    0.000    0.005    0.000 contract.py:408(<listcomp>)
        1    0.000    0.000    0.005    0.005 font_manager.py:880(json_load)
        1    0.000    0.000    0.005    0.005 __init__.py:274(load)
       13    0.000    0.000    0.005    0.000 enum.py:602(_convert)
       30    0.000    0.000    0.005    0.000 __init__.py:826(__init__)
       31    0.000    0.000    0.005    0.000 _collections_abc.py:824(update)
       19    0.000    0.000    0.005    0.000 rcsetup.py:825(validate_cycler)
        3    0.000    0.000    0.005    0.002 __init__.py:302(loads)
        3    0.000    0.000    0.005    0.002 decoder.py:334(decode)
        3    0.002    0.001    0.005    0.002 decoder.py:345(raw_decode)
        1    0.000    0.000    0.004    0.004 inspect.py:27(<module>)
        1    0.000    0.000    0.004    0.004 _base.py:1(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:10(<module>)
      834    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.004    0.004 offsetbox.py:15(<module>)
     6638    0.004    0.000    0.004    0.000 {built-in method posix.getpid}
        1    0.000    0.000    0.004    0.004 __init__.py:31(<module>)
      480    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:147(__enter__)
      492    0.001    0.000    0.004    0.000 rcsetup.py:358(validate_color)
      178    0.000    0.000    0.004    0.000 rcsetup.py:69(f)
       39    0.001    0.000    0.004    0.000 __init__.py:1613(param)
      475    0.004    0.000    0.004    0.000 threading.py:215(__init__)
