M = 0  out of  250
M = 25  out of  250
M = 50  out of  250
M = 75  out of  250
M = 100  out of  250
M = 125  out of  250
M = 150  out of  250
M = 175  out of  250
M = 200  out of  250
M = 225  out of  250
         4493559 function calls (4487363 primitive calls) in 61.601 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      236    0.000    0.000    0.001    0.000 abc.py:178(__instancecheck__)
       58    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
      160    0.000    0.000    0.013    0.000 cm.py:67(_generate_cmap)
      181    0.000    0.000    0.001    0.000 sre_compile.py:386(_simple)
      541    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      139    0.000    0.000    0.007    0.000 rcsetup.py:77(f)
      168    0.000    0.000    0.000    0.000 colors.py:414(__init__)
       28    0.000    0.000    0.001    0.000 ipaddress.py:2160(__init__)
      124    0.000    0.000    0.001    0.000 enum.py:51(__setitem__)
      124    0.000    0.000    0.001    0.000 pyparsing.py:732(copy)
        1    0.000    0.000    0.006    0.006 mathtext.py:2764(<listcomp>)
       99    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
     1641    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      713    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      214    0.000    0.000    0.001    0.000 pyparsing.py:1465(set)
       16    0.000    0.000    0.007    0.000 rcsetup.py:805(validate_cycler)
       11    0.000    0.000    0.003    0.000 pyparsing.py:2631(__init__)
       32    0.000    0.000    0.001    0.000 ntpath.py:465(normpath)
      374    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
      380    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:310(__init__)
      110    0.000    0.000    0.000    0.000 sre_parse.py:217(__init__)
       71    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.003    0.003 core.py:21(<module>)
       34    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1210(__init__)
        1    0.000    0.000    0.001    0.001 getlimits.py:3(<module>)
        1    0.000    0.000    0.031    0.031 pyparsing.py:61(<module>)
     1733    0.000    0.000    0.000    0.000 inspect.py:2449(default)
      399    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      380    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
       67    0.000    0.000    0.001    0.000 pyparsing.py:3697(__init__)
      306    0.000    0.000    0.002    0.000 re.py:175(sub)
       20    0.000    0.000    0.001    0.000 cbook.py:188(deprecate)
        1    0.000    0.000    0.000    0.000 _color_data.py:995(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
      728    0.000    0.000    0.000    0.000 sre_parse.py:153(__len__)
      109    0.000    0.000    0.013    0.000 sre_compile.py:516(_code)
       57    0.000    0.000    0.001    0.000 sre_compile.py:374(_mk_bitmap)
       63    0.000    0.000    0.000    0.000 cm.py:46(<listcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method sys.getwindowsversion}
       67    0.000    0.000    0.001    0.000 pyparsing.py:3368(__init__)
        1    0.000    0.000    0.003    0.003 numerictypes.py:82(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method nt.access}
     1325    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.016    0.016 cm.py:6(<module>)
   121/59    0.000    0.000    0.006    0.000 pyparsing.py:3341(copy)
     34/5    0.000    0.000    0.001    0.000 pyparsing.py:3297(streamline)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.print}
      109    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      572    0.000    0.000    0.007    0.000 colors.py:313(to_rgba)
      405    0.000    0.000    0.000    0.000 artist.py:1193(aliased_name)
      209    0.000    0.000    0.000    0.000 pyparsing.py:186(__init__)
      268    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.add_docstring}
      160    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
      268    0.000    0.000    0.000    0.000 rcsetup.py:156(validate_float)
    58/10    0.000    0.000    0.006    0.001 pyparsing.py:3266(leaveWhitespace)
     1766    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       19    0.000    0.000    0.001    0.000 ipaddress.py:1460(__init__)
        1    0.000    0.000    0.008    0.008 _axes.py:94(Axes)
